country,population,area,density,migration,gdp,literacy,phones
Saint Helena ,7502,413,18.2,0,2500,97,293.3
Saint Kitts & Nevis ,39129,261,149.9,-7.11,8800,97,638.9
Saint Lucia ,168458,616,273.5,-2.67,5400,67,303.3
St Pierre & Miquelon ,7026,242,29,-4.86,6900,99,683.2
St Vincent and the Grenadines,117848,389,303,-7.64,2900,96,190.9
Samoa ,176908,2944,60.1,-11.7,5600,99.7,75.2
San Marino ,29251,61,479.5,10.98,34600,96,704.3
Sao Tome & Principe ,193413,1001,193.2,-2.72,1200,79.3,36.2
Saudi Arabia ,27019731,1960582,13.8,-2.71,11800,78.8,140.6
Senegal ,11987121,196190,61.1,0.2,1600,40.2,22.2
Serbia ,9396411,88361,106.3,-1.33,2200,93,285.8
Seychelles ,81541,455,179.2,-5.69,7800,58,262.4
Sierra Leone ,6005250,71740,83.7,0,500,31.4,4
Singapore ,4492150,693,6482.2,11.53,23700,92.5,411.4
Slovakia ,5439448,48845,111.4,0.3,13300,0,220.1
Slovenia ,2010347,20273,99.2,1.12,19000,99.7,406.1
Solomon Islands ,552438,28450,19.4,0,1700,0,13.4
Somalia ,8863338,637657,13.9,5.37,500,37.8,11.3
South Africa ,44187637,1219912,36.2,-0.29,10700,86.4,107
Spain ,40397842,504782,80,0.99,22000,97.9,453.5
Sri Lanka ,20222240,65610,308.2,-1.31,3700,92.3,61.5
Sudan ,41236378,2505810,16.5,-0.02,1900,61.1,16.3
Suriname ,439117,163270,2.7,-8.81,4000,93,184.7
Swaziland ,1136334,17363,65.5,0,4900,81.6,30.8
Sweden ,9016596,449964,20,1.67,26800,99,715
Switzerland ,7523934,41290,182.2,4.05,32700,99,680.9
Syria ,18881361,185180,102,0,3300,76.9,153.8
Taiwan ,23036087,35980,640.3,0,23400,96.1,591
Tajikistan ,7320815,143100,51.2,-2.86,1000,99.4,33.5
Tanzania ,37445392,945087,39.6,-2.06,600,78.2,4
Thailand ,64631595,514000,125.7,0,7400,92.6,108.9
Togo ,5548702,56785,97.7,0,1500,60.9,10.6
Tonga ,114689,748,153.3,0,2200,98.5,97.7
Trinidad & Tobago ,1065842,5128,207.9,-10.83,9500,98.6,303.5
Tunisia ,10175014,163610,62.2,-0.57,6900,74.2,123.6
Turkey ,70413958,780580,90.2,0,6700,86.5,269.5
Turkmenistan ,5042920,488100,10.3,-0.86,5800,98,74.6
Turks & Caicos Is ,21152,430,49.2,11.68,9600,98,269.5
Tuvalu ,11810,26,454.2,0,1100,0,59.3
Uganda ,28195754,236040,119.5,0,1400,69.9,3.6
Ukraine ,46710816,603700,77.4,-0.39,5400,99.7,259.9
United Arab Emirates ,2602713,82880,31.4,1.03,23200,77.9,475.3
United Kingdom ,60609153,244820,247.6,2.19,27700,99,543.5
United States ,2.98E+08,9631420,31,3.41,37800,97,898
Uruguay ,3431932,176220,19.5,-0.32,12800,98,291.4
Uzbekistan ,27307134,447400,61,-1.72,1700,99.3,62.9
